,x4_Av,x13_2fmCon,x4_Gd,BsmtFullBath,FullBath,Fireplaces,OpenPorchSF,LotArea,x9_1.5Fin,isNew,LotFrontage_median,x9_2Story,x5_Grav,x13_Twnhs,x10_PConc,WoodDeckSF,hasGarage,x3_GdWo,firstFlrSF,x7_Inside,x4_No,TotRmsAbvGrd,x10_BrkTil,x7_CulDSac,x12_Y,YearRemodAdd,GarageArea,x6_FuseF,x3_MnPrv,x6_SBrkr,HalfBath
1,0.0,0.0,0.0,1,2,0.0,35.0,8633.0,0.0,True,64.0,1.0,0.0,0.0,1.0,100.0,True,0.0,738.0,0.0,1.0,7.0,0.0,0.0,1.0,4,540.0,0.0,0.0,1.0,1
2,0.0,0.0,0.0,1,2,1.0,112.0,13923.6,0.0,False,70.0,1.0,0.0,0.0,1.0,0.0,True,0.0,1310.0,1.0,0.0,7.0,0.0,0.0,1.0,11,728.05,0.0,0.0,1.0,1
3,1.0,0.0,0.0,0,2,0.0,0.0,9750.0,0.0,False,75.0,0.0,0.0,0.0,1.0,68.0,True,0.0,980.0,1.0,0.0,6.0,0.0,0.0,1.0,39,384.0,0.0,0.0,1.0,0
4,0.0,0.0,0.0,0,2,0.0,112.0,3180.0,0.0,True,30.0,1.0,0.0,0.0,1.0,0.0,True,0.0,520.0,1.0,1.0,4.0,0.0,0.0,1.0,1,480.0,0.0,0.0,1.0,1
6,1.0,0.0,0.0,0,2,0.0,33.0,10475.0,0.0,True,64.0,0.0,0.0,0.0,1.0,160.0,True,0.0,1692.3000000000002,0.0,0.0,7.0,0.0,0.0,1.0,2,728.05,0.0,0.0,1.0,0
7,0.0,0.0,0.0,0,2,1.0,25.0,9125.0,0.0,False,70.0,0.0,0.0,0.0,1.0,100.0,True,0.0,812.0,1.0,1.0,7.0,0.0,0.0,1.0,15,392.0,0.0,0.0,1.0,1
8,0.0,0.0,1.0,1,2,1.0,21.0,10768.0,0.0,False,90.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1437.0,0.0,0.0,6.0,0.0,0.0,1.0,3,528.0,0.0,0.0,1.0,0
10,0.0,0.0,0.0,0,1,1.6,110.0,13923.6,0.0,False,70.0,0.0,0.0,0.0,0.0,216.0,True,0.0,1429.0,0.0,1.0,7.0,0.0,1.0,1.0,20,572.0,0.0,0.0,1.0,0
11,0.0,0.0,0.0,0,1,0.0,65.0,8544.0,0.0,False,70.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1228.0,0.0,1.0,6.0,0.0,1.0,1.0,2,271.0,0.0,1.0,1.0,1
12,0.0,0.0,0.0,1,1,0.0,0.0,5604.0,0.0,False,67.0,0.0,0.0,0.0,0.0,0.0,False,0.0,864.0,1.0,1.0,5.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0
13,1.0,0.0,0.0,0,2,0.0,60.0,8500.0,0.0,True,63.0,0.0,0.0,0.0,1.0,192.0,True,0.0,1422.0,0.0,0.0,7.0,0.0,0.0,1.0,3,626.0,0.0,0.0,1.0,0
14,1.0,0.0,0.0,1,2,0.0,27.0,9947.0,0.0,False,70.0,0.0,0.0,0.0,1.0,168.0,True,0.0,1217.0,0.0,0.0,6.0,0.0,1.0,1.0,18,497.0,0.0,0.0,1.0,0
15,0.0,0.0,0.0,1,2,1.0,70.0,9452.0,0.0,False,82.0,1.0,0.0,0.0,1.0,0.0,True,0.0,1407.0,1.0,1.0,7.0,0.0,0.0,1.0,8,728.05,0.0,0.0,1.0,1
16,0.0,0.0,0.0,0,2,0.0,77.0,8750.0,0.0,False,70.0,1.0,0.0,0.0,1.0,0.0,True,0.0,804.0,1.0,1.0,7.0,0.0,0.0,1.0,12,523.0,0.0,0.0,1.0,1
17,0.0,0.0,0.0,1,1,0.0,57.0,4712.0,1.0,False,51.0,0.0,0.0,0.0,0.0,0.0,True,0.0,774.0,1.0,1.0,5.0,0.0,0.0,1.0,56,305.0,0.0,1.0,1.0,1
18,0.0,0.0,0.0,0,1,0.0,98.0,5586.0,1.0,False,60.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1088.0,1.0,1.0,7.0,1.0,0.0,1.0,10,0.0,0.0,1.0,1.0,0
19,0.0,0.0,0.0,0,2,1.0,112.0,6931.0,0.0,True,60.0,1.0,0.0,0.0,1.0,178.0,True,0.0,760.0,1.0,1.0,7.0,0.0,0.0,1.0,4,397.0,0.0,0.0,1.0,1
20,0.0,0.0,0.0,0,1,1.6,0.0,7500.0,0.0,False,70.0,1.0,0.0,0.0,0.0,0.0,True,0.0,753.0,1.0,1.0,7.0,0.0,0.0,1.0,59,213.0,0.0,0.0,1.0,0
21,1.0,0.0,0.0,0,1,0.0,0.0,8712.0,0.0,False,66.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1044.0,1.0,0.0,4.0,0.0,0.0,0.0,58,504.0,0.0,0.0,0.0,0
22,0.0,0.0,0.0,1,1,1.0,112.0,13284.0,0.0,False,70.0,0.0,0.0,0.0,1.0,273.6,True,0.0,1383.0,1.0,0.0,6.0,0.0,0.0,1.0,54,354.0,0.0,0.0,1.0,0
24,0.0,0.0,0.0,0,2,1.0,40.0,7917.0,0.0,False,62.0,1.0,0.0,0.0,1.0,0.0,True,0.0,953.0,1.0,1.0,7.0,0.0,0.0,1.0,7,460.0,0.0,0.0,1.0,1
25,0.0,0.0,0.0,0,2,1.0,40.0,7837.0,0.0,False,59.0,1.0,0.0,0.0,1.0,0.0,True,0.0,799.0,1.0,1.0,7.0,0.0,0.0,1.0,15,380.0,0.0,0.0,1.0,1
26,1.0,0.0,0.0,0,2,0.0,0.0,3010.0,0.0,True,43.0,0.0,0.0,0.0,1.0,108.0,True,0.0,1248.0,1.0,0.0,5.0,0.0,0.0,1.0,0,438.0,0.0,0.0,1.0,0
28,0.0,0.0,0.0,1,1,0.0,0.0,10634.0,0.0,False,79.0,0.0,0.0,0.0,1.0,66.0,True,1.0,1319.0,1.0,1.0,5.0,0.0,0.0,1.0,56,270.0,0.0,0.0,1.0,0
29,1.0,0.0,0.0,1,1,1.0,12.0,8471.0,0.0,False,88.0,0.0,0.0,0.0,0.0,273.6,True,1.0,1212.0,0.0,0.0,6.0,0.0,0.0,1.0,11,492.0,0.0,0.0,1.0,0
31,0.0,0.0,0.0,0,2,0.0,0.0,9525.0,1.0,False,75.0,0.0,0.0,0.0,0.0,182.0,True,0.0,1216.0,1.0,1.0,7.0,0.0,0.0,1.0,34,325.0,0.0,0.0,1.0,0
32,0.0,0.0,1.0,1,1,0.0,101.0,1596.0,0.0,False,29.599999999999998,0.0,0.0,1.0,0.0,120.0,True,1.0,526.0,1.0,0.0,5.0,0.0,0.0,1.0,36,297.0,0.0,0.0,1.0,0
33,0.0,0.0,1.0,1,1,0.0,28.0,3675.0,0.0,True,35.0,0.0,0.0,0.0,1.0,0.0,True,0.0,1072.0,1.0,0.0,5.0,0.0,0.0,1.0,3,525.0,0.0,0.0,1.0,0
34,1.0,0.0,0.0,1,1,0.0,0.0,7244.0,0.0,False,54.0,0.0,0.0,0.0,0.0,104.0,True,0.0,768.0,1.0,0.0,5.0,0.0,0.0,1.0,37,624.0,0.0,0.0,1.0,0
36,0.0,0.0,0.0,0,2,0.0,34.0,12137.0,0.0,False,48.0,0.0,0.0,0.0,1.0,0.0,True,0.0,1661.0,0.0,1.0,6.0,0.0,1.0,1.0,12,598.0,0.0,0.0,1.0,0
37,0.0,0.0,0.0,0,2,1.0,112.0,8750.0,0.0,False,70.0,1.0,0.0,0.0,1.0,0.0,True,0.0,909.0,1.0,1.0,7.0,0.0,0.0,1.0,13,512.0,0.0,0.0,1.0,1
38,0.0,0.0,0.0,1,1,1.0,28.0,9503.0,0.0,False,70.0,0.0,0.0,0.0,0.0,273.6,True,1.0,1344.0,1.0,1.0,6.0,0.0,0.0,1.0,24,484.0,0.0,0.0,1.0,0
39,0.0,0.0,0.0,1,1,0.0,0.0,7390.0,0.0,False,70.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1098.0,1.0,1.0,6.0,0.0,0.0,1.0,53,260.0,0.0,0.0,1.0,0
40,1.0,0.0,0.0,1,1,0.0,0.0,4435.0,0.0,True,70.0,0.0,0.0,0.0,1.0,140.0,True,0.0,848.0,1.0,0.0,4.0,0.0,0.0,1.0,5,420.0,0.0,0.0,1.0,0
41,0.0,1.0,1.0,1,1,0.0,0.0,10382.0,0.0,False,75.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1095.0,1.0,0.0,6.0,0.0,0.0,1.0,48,264.0,0.0,0.0,1.0,0
42,1.0,0.0,0.0,1,2,1.6,112.0,13923.6,0.0,False,70.0,1.0,0.0,0.0,1.0,216.0,True,0.0,1079.0,0.0,0.0,8.2,0.0,0.0,1.0,15,501.0,0.0,0.0,1.0,1
43,1.0,0.0,0.0,1,2,1.0,57.0,10084.0,0.0,True,75.0,0.0,0.0,0.0,1.0,255.0,True,0.0,1692.3000000000002,1.0,0.0,7.0,0.0,0.0,1.0,2,636.0,0.0,0.0,1.0,0
44,0.0,0.0,0.0,0,1,0.0,24.0,11767.0,0.0,False,70.0,1.0,0.0,0.0,0.0,168.0,True,1.0,796.0,1.0,1.0,6.0,0.0,0.0,0.0,7,384.0,0.0,0.0,1.0,1
45,0.0,0.0,0.0,0,1,0.0,0.0,6000.0,0.0,False,50.0,0.0,0.0,0.0,1.0,0.0,True,0.0,904.0,1.0,1.0,4.0,0.0,0.0,1.0,5,180.0,0.0,0.0,1.0,0
46,0.0,0.0,0.0,0,1,1.0,0.0,1680.0,0.0,False,29.599999999999998,1.0,0.0,1.0,0.0,0.0,True,0.0,483.0,1.0,1.0,5.0,0.0,0.0,1.0,34,288.0,0.0,0.0,1.0,1
47,0.0,0.0,0.0,0,2,0.0,0.0,6270.0,0.0,False,82.0,1.0,0.0,0.0,0.0,0.0,True,0.0,1001.0,1.0,1.0,8.0,0.0,0.0,0.0,57,728.05,0.0,0.0,0.0,0
49,0.0,0.0,0.0,0,2,1.0,62.0,13923.6,0.0,True,90.4,1.0,0.0,0.0,1.0,192.0,True,0.0,1071.0,0.0,1.0,8.2,0.0,0.0,1.0,1,728.05,0.0,0.0,1.0,1
50,0.0,0.0,0.0,0,1,0.0,112.0,7920.0,1.0,False,70.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1035.0,1.0,1.0,6.0,0.0,0.0,1.0,58,0.0,0.0,1.0,0.0,0
51,1.0,0.0,0.0,1,2,0.0,0.0,10012.0,0.0,False,90.0,0.0,0.0,0.0,0.0,0.0,True,0.0,1181.0,1.0,0.0,6.0,0.0,0.0,1.0,36,588.0,0.0,1.0,1.0,0
52,0.0,0.0,0.0,0,2,1.0,0.0,8600.0,1.0,False,50.0,0.0,0.0,0.0,0.0,0.0,True,0.0,780.0,1.0,1.0,7.0,1.0,0.0,1.0,56,198.0,0.0,0.0,1.0,0
53,0.0,0.0,0.0,0,1,0.0,0.0,1680.0,0.0,False,29.599999999999998,1.0,0.0,1.0,0.0,0.0,True,0.0,483.0,1.0,1.0,4.0,0.0,0.0,1.0,37,264.0,0.0,0.0,1.0,1
